^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS2101
!dataset_title = Chitin oligomer chitooctaose effect on seedlings
!dataset_description = Analysis of 14-day-old Col-0 seedlings treated with 1 uM chitooctaose for 3 minutes. Chitooctaose, a chitin oligomer, is released by plant enzymes from the cell wall of many plant fungal pathogens. Results provide insight into the plant defense response to fungal elicitors.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 17722694
!dataset_platform = GPL198
!dataset_platform_organism = Arabidopsis thaliana
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 22810
!dataset_sample_organism = Arabidopsis thaliana
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = count
!dataset_reference_series = GSE4746
!dataset_order = none
!dataset_update_date = Oct 10 2012
^SUBSET = GDS2101_1
!subset_dataset_id = GDS2101
!subset_description = control
!subset_sample_id = GSM107437,GSM107438,GSM107439
!subset_type = agent
^SUBSET = GDS2101_2
!subset_dataset_id = GDS2101
!subset_description = chitooctaose
!subset_sample_id = GSM107440,GSM107441,GSM107442
!subset_type = agent
^DATASET = GDS2101
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM107437 = Value for GSM107437: Arabidopsis_Water-30M_rep1; src: Arabidopsis 2-week-old seedlings
#GSM107438 = Value for GSM107438: Arabidopsis_Water-30M_rep2; src: Arabidopsis 2-week-old seedlings
#GSM107439 = Value for GSM107439: Arabidopsis_Water-30M_rep3; src: Arabidopsis 2-week-old seedlings
#GSM107440 = Value for GSM107440: Arabidopsis_Chitooctaose-30M_rep1; src: Arabidopsis 2-week-old seedlings
#GSM107441 = Value for GSM107441: Arabidopsis_Chitooctaose-30M_rep2; src: Arabidopsis 2-week-old seedlings
#GSM107442 = Value for GSM107442: Arabidopsis_Chitooctaose-30M_rep3; src: Arabidopsis 2-week-old seedlings
!dataset_table_begin
ID_REF	IDENTIFIER	GSM107437	GSM107438	GSM107439	GSM107440	GSM107441	GSM107442
244932_at	psaC	2204.73	1849.71	2715.36	2291.98	2234.27	2240.57
244933_at	ndhE	866.573	768.142	1222.35	1130.01	827.488	1084.02
244934_at	ndhG	645.71	596.442	873.59	759.628	508.183	770.972
244935_at	ndhI	9133.25	8012.93	8117.42	9037.17	8126.21	8024.75
244936_at	ndhA	5674.82	4416.98	5046.63	5666.57	4882.24	4406.15
244937_at	ndhH	2342.86	1956.65	2699.29	2447.14	2365.87	2461.31
244938_at	rps15	1655.8	1314.74	2110.04	1846.33	1045.5	1790.85
244939_at	rps12	195.215	261.08	380.15	253.981	161.455	351.678
244940_at	rps12	1303.8	1508.25	2567.49	1554.43	1447.43	2388.22
244941_at	ArthMp002	51.6774	48.8194	46.2671	60.8798	48.9524	66.8006
244942_at	ArthMp005	58.8263	58.114	39.8279	60.5545	105.681	41.6859
244943_at	nad9	97.3544	130.384	118.577	145.847	140.132	161.677
244944_s_at	rps3	253.833	276.228	358.195	343.139	309.395	402.816
244945_at	ccb206	86.0704	94.457	98.4753	89.7022	82.7733	105.331
244946_at	orf143	59.5786	75.3041	91.2024	81.6247	84.0147	62.688
244947_at	ArthMp012	28.1709	40.839	23.9616	32.9536	46.3731	17.2492
244948_at	ArthMp013	27.2332	48.6036	24.2719	30.5275	45.7497	26.6411
244949_at	ArthMp014	9.6794	34.7064	37.1297	40.1865	32.0205	32.9738
244950_at	cox2	73.7145	109.042	99.9693	122.085	116.535	130.307
244951_s_at	ccb452	193.522	204.046	184.096	206.109	160.37	197.061
244952_at	ArthMp023	35.4929	51.2932	38.456	39.5695	29.869	38.0743
244953_s_at	nad6	45.9993	38.7063	47.0772	48.9289	53.8711	54.3833
244954_s_at	AT2G07732	56.8361	47.5064	96.1205	54.186	48.5467	41.7612
244955_at	ArthMp030	26.9202	38.3734	27.04	38.4005	24.6155	25.4603
244956_s_at	ArthMp029	92.126	100.77	120.665	89.9917	58.9852	98.1278
244957_at	ArthMp034	29.1451	57.4954	60.3918	63.0483	69.668	52.9378
244958_at	ArthMp038	37.1197	52.2737	66.2976	50.3846	49.6069	53.6123
244959_s_at	ArthMp042	189.784	246.345	260.453	297.51	225.297	290.63
244960_at	rpl32	5097.3	4837.7	5564.53	5047.92	5244.42	5683.94
244961_at	ccsA	4949.57	5501.55	6527.02	5442.08	5706.9	6290.76
244962_at	ndhD	3848.3	3882.86	4501.52	3939.65	3653.4	4241.74
244963_at	psbF	6804.42	6532.7	7034.53	6629.8	6654.42	6418.41
244964_at	psbE	4598.13	4451.59	4898.04	4654.35	4701.93	4977.01
244965_at	petL	453.727	590.202	924.263	509.128	585.456	796.183
244966_at	petG	363.596	197.578	254.832	88.0012	345.722	369.08
244967_at	psaJ	7465.12	7501.31	8587.74	7822.12	7475.46	8255.21
244968_at	rpl33	8853.12	8314.49	8833.98	9189.06	8459.45	9254.8
244969_at	rps18	4430.35	4542.44	4787.53	4550.75	4793.84	4775.53
244970_at	rpl20	290.17	321.232	481.777	298.69	265.937	510.436
244971_at	clpP	5916.81	5982.15	6406.41	5997.6	5603.65	6576.05
244972_at	psbB	2336.61	688.876	1952.07	4110.04	543.759	2326.59
244973_at	psbT	1103.74	273.777	878.479	1781.59	270.956	1147.34
244974_at	psbN	757.198	722.648	675.396	866.5	655.109	854.28
244975_at	psbH	5753.89	5417.44	5865.57	6210.14	5760.39	5980.12
244976_at	petB	11328.4	11098.9	10982.7	11160.7	10279.1	11344.4
244977_at	petD	54.1489	54.7967	72.4547	70.0135	31.4921	85.4551
244978_at	rpoA	5810.48	4744.9	5744.34	5683.34	5624.58	5616
244979_at	rps11	6454.82	4288.24	5072.14	5727.85	4721.98	4504.84
244980_at	rpl36	3924.77	3151.99	3277.68	3258.84	3084.86	2959.81
244981_at	rps8	3506.52	2462.69	3279.9	3052.49	2752.05	3030.05
244982_at	rpl14	1938.07	1631.75	1852.16	1795.21	1640.49	1952.54
244983_at	rpl16	2445	2807.18	3469.25	2445.94	2907.25	3083.16
244984_at	rps3	6680.96	5543.63	6300.03	6400.73	6237.51	6848
244985_at	rpl22	7024.14	5551.17	6985.66	6441.83	6789.16	7389.48
244986_at	rps19	9171.02	8180.2	7504.15	6297.7	7967.2	9156.34
244987_s_at	rpl2	9638.27	7731.82	7513.09	6946.17	7733.69	9576.42
244988_s_at	rpl23	7764.37	5976.39	5978.48	4758.09	7233.34	6969.3
244989_s_at	ycf2	46.1632	49.9683	47.8178	62.2032	55.0431	57.4391
244990_s_at	orf77.1	67.8175	45.6151	111.635	84.4113	73.2675	97.4171
244991_s_at	ndhB	74.5988	83.8083	102.137	69.9547	65.4821	88.4296
244992_s_at	rps7	3308.91	3852.52	6017.47	3929.42	4338.89	5647.87
244993_s_at	ycf1	3386.76	3573.23	3734.98	3038.52	3829.16	3738.79
244994_at	ndhF	19.4432	22.7117	35.3052	44.6157	24.1447	33.4335
244995_at	atpI	195.562	188.491	231.651	177.655	207.609	300.372
244996_at	rps2	6161.68	5650.16	6504.13	5636.7	6010.35	6704.2
244997_at	rpoC2	2569.49	2304.64	2627.47	2412.07	2424.85	2889.23
244998_at	rpoC1	3503.68	2714.81	3077.19	3681.47	2714.46	3309
244999_at	rpoB	732.853	376.118	526.776	737.12	349.802	593.621
245000_at	petN	95.1858	92.2903	155.181	169.965	103.914	171.04
245001_at	psbM	10650.5	9817.38	10620	10661	9387.8	10525.1
245002_at	psbD	1055.89	1080.27	1591.2	1103.74	956.086	1700.11
245003_at	psbC	1609.18	1738.51	2558.79	1584.1	1549.1	2801.49
245004_at	psbZ	3716.17	4733.24	4460.38	4134.38	4521.93	4582.25
245005_at	rps14	28.1749	54.0661	42.5041	45.0208	23.4076	48.9693
245006_at	psaB	7576.14	8177.25	9014.51	8205.28	8567.73	8685.33
245007_at	psaA	4169.04	5069.37	5504.14	4718.76	4898.36	5526.7
245008_at	ycf3	792.812	830.832	1170.08	1000.02	853.08	1238.34
245009_at	rps4	4215.66	5765.82	6354.65	4510.17	5994.39	6158.9
245010_at	ndhJ	477.415	513.343	797.127	657.417	528.056	791.116
245011_at	ndhK	213.307	278.002	422.188	295.907	199.157	382.1
245012_at	ndhC	4902.58	4903.32	5442.42	5250.6	4702.52	5144.03
245013_at	atpE	11086.8	11078.2	12500.8	10824.7	11215.3	12258.4
245014_at	atpB	12787.8	12946.2	13842.4	12897.5	11761.5	14311.5
245015_at	rbcL	1910.6	2565.2	2531.35	2444.5	2187.14	2704.28
245016_at	accD	971.322	1502.48	1657.34	1073.72	1044.13	1645.91
245017_at	psaI	2187.79	3203.99	3458.91	2526.83	2699.98	3036.82
245018_at	ycf4	3844.19	3834.53	4392.1	3857.03	4201.41	4364.71
245019_at	cemA	6477.92	5979.89	7051.82	6318.92	6916.55	6756.72
245020_at	petA	6696.11	6713.58	7022.37	6471.77	6879.94	7486.05
245021_at	psbJ	4066.89	3851.45	4312.32	4082.29	3959.75	4096.77
245022_at	psbL	2068.75	1614.02	2176.91	2002.37	1741.75	2355.56
245023_at	psbI	2192.52	1100.18	1168.48	1084.46	1537.98	2171.03
245024_at	atpA	6591.23	7679.15	5200.24	2495.84	7552.87	7897.99
245025_at	atpF	2827.13	3490.99	2510.04	1351.51	3471.7	4048.36
245026_at	atpH	2423.13	2832.27	2339.64	1417.89	2889.15	3488.77
245027_at	HO2	632.393	669.934	752.375	693.6	664.602	646.765
245028_at	AT2G26570	203.177	161.814	207.153	211.523	211.67	234.157
245029_at	YAB5	401.303	404.74	428.033	398.675	374.833	359.29
245030_at	AT2G26620	17.4965	13.8718	14.8651	15.7241	16.5749	13.1487
245031_at	AT2G26360	48.9225	49.2981	62.6864	49.0561	50.4907	54.4316
245032_at	AT2G26630	30.1177	34.1941	108.891	25.5283	42.4923	47.2041
245033_at	AT2G26380	10.3809	27.0898	13.9989	25.703	14.7233	24.4463
245034_at	AT2G26390	20.5728	37.905	37.6224	42.9944	30.5943	43.9901
245035_at	ARD3	155.662	126.751	202.979	147.418	332.747	151.548
245036_at	Iqd4	55.2656	72.4441	63.5645	63.414	44.3896	69.3844
245037_at	PIP5K3	37.2681	47.1539	44.0397	37.7647	18.622	33.1116
245038_at	PLA2A	98.4563	116.489	114.263	1214.34	1177.83	1468.53
245039_at	AT2G26600	324.794	315.974	355.669	396.033	405	355.456
245040_at	AT2G26520	40.942	37.0019	24.9597	40.2825	35.4142	45.0142
245041_at	AR781	118.55	162.241	106.038	3071.37	2797.44	2737.62
245042_at	HEMD	385.898	375.675	442.455	396.987	368.331	445.514
245043_at	RCY1	384.609	370.422	441.735	381.056	381.663	337.361
245044_at	AT2G26500	7606.91	7360.1	7940.73	7627.91	8013.25	7650.75
245045_at	RPN13	782.65	802.483	711.469	794.191	738.97	749.762
245046_at	PDE135	944.214	931.712	835.088	961.544	948.278	830.989
245047_at	psbA	1682.34	953.676	2681.25	2713.27	1190.06	1921.96
245048_at	matK	7792.98	7183.35	8223.58	8033.63	7616.85	7543.45
245049_at	rps16	1015.68	955.056	1112.33	996.555	1022.11	1145.87
245050_at	psbK	3385.27	1671.94	1455.14	1545.22	2119.12	2969.65
245051_at	WRKY15	514.711	693.818	541.835	1649.94	1759.98	1739.31
245052_at	AT2G26440	329.392	349.803	338.301	380.124	426.009	452.704
245053_at	AT2G26450	88.444	32.7331	48.0216	34.3251	71.3064	30.3548
245054_at	SMU2	145.968	113.402	134.619	136.927	122.399	140.248
245055_at	AT2G26470	63.5526	47.1325	55.9476	53.0575	67.2971	56.0582
245056_at	UGT76D1	41.3557	38.6881	59.5828	62.3098	49.0118	43.8586
245057_at	AT2G26490	25.0811	30.4001	17.8386	41.118	22.6976	29.5015
245058_at	AT2G39790	14.5283	10.3827	8.66853	19.7526	7.63856	14.8618
245059_at	RHC2A	452.252	431.867	488.418	432.006	444.169	424.155
245060_at	CYT1	1873.26	1984.2	2035.1	2143.69	2230.51	1598.59
245061_at	RCA	10122.3	10358.6	10200.7	9698.95	10506.4	10265.1
245062_at	BPM3	511.79	442.96	500.083	497.216	482.484	453.197
245063_at	AT2G39795	328.782	291.536	355.89	296.122	257.518	290.346
245064_at	AT2G39725	226.771	176.007	223.79	226.825	208.081	200.625
245065_at	AT2G39750	487.287	464.503	484.198	447.939	469.991	473.994
245066_at	TOPP4	305.542	362.284	331.791	336.284	314.973	388.184
245067_at	RNS2	1473.83	1563.98	1393.63	1450.37	1419.28	1451.39
245068_at	UGT84B1	445.732	91.9324	533.067	267.081	191.692	4.93684
245069_at	UGT84B2	8.89795	15.8665	4.68659	35.0579	48.1714	16.0421
245070_at	AT2G23240	17.9472	21.376	46.4511	55.6861	32.8491	19.338
245071_at	AT2G23230	68.1428	25.1945	39.2217	39.9624	38.1427	7.86218
245072_s_at	CYP81D6	43.7894	42.423	63.8154	49.5767	29.4587	84.1453
245073_at	AT2G23210	112.735	114.48	119.62	75.9513	115.505	156.793
245074_at	AT2G23200	155.841	192.486	220.668	186.673	217.089	206.199
245075_at	CYP96A1	129.947	131.26	150.771	90.8853	101.191	113.164
245076_at	GH3.3	251.914	334.111	275.961	282.299	354.24	299.641
245077_at	AT2G23160	43.3546	66.9892	66.4725	63.8451	49.5067	44.0539
245078_at	DEAR3	123.031	88.7491	145.562	111.666	74.1172	137.675
245079_at	AT2G23330	76.511	89.8913	66.569	98.3693	83.788	112.368
245080_at	AT2G23300	57.5529	37.1519	72.8061	49.7336	88.9728	38.1311
245081_at	At2g23280	48.2839	43.4951	18.9452	35.0482	31.4785	48.3377
245082_at	AT2G23270	null	null	null	261.946	272.457	334.703
245083_at	ATRER1C1	793.911	649.396	793.379	730.408	617.486	672.206
245084_at	MYB70	177.518	141.459	199.839	196.992	178.629	196.462
245085_at	PAB4	3607.69	3447.04	3733.66	3394.22	3667.34	3565.62
245086_at	AT2G39820	52.4735	32.0895	61.9969	56.051	57.6737	27.7471
245087_at	DAR2	58.4158	65.8314	54.8536	65.937	58.3149	64.4552
245088_at	AT2G39850	152.698	147.821	159.287	117.502	136.156	146.752
245089_at	AT2G45290	220.066	235.756	180.787	207.701	212.706	205.243
245090_at	AT2G40900	311.068	360.749	299.063	219.691	237.087	192.287
245091_at	AT2G40910	39.3111	53.8351	32.1481	43.6455	33.7738	40.5794
245092_at	BZIP17	232.071	276.92	227.436	229.905	247.951	243.718
245093_at	AT2G40815	193.161	162.193	209.442	190.892	155.483	146.222
245094_at	DPE2	1052.56	995.336	1117.92	1087.74	730.343	1086.54
245095_at	AT2G40860	88.1202	89.819	109.547	79.5395	84.2732	91.2817
245096_at	CYSA	1366.53	1081.37	1461.82	1123.5	1328.77	1329.79
245097_at	AT2G40935	186.588	208.349	185.77	194.011	172.142	178.758
245098_at	ERS1	1351.17	1254.71	1349.61	1186.95	966.452	1305.35
245099_at	RHC1A	452.619	477.509	426.716	433.149	475.281	406.839
245100_at	UBP5	198.023	219.506	205.723	165.092	194.543	215.293
245101_at	CYP98A3	1560.76	1407.34	1440.64	1393.64	1356.78	1437.11
245102_at	AT2G41580	20.5333	19.8573	36.6528	32.1984	33.3136	19.1963
245103_at	AT2G41590	67.8474	54.6359	76.1262	77.6958	99.5085	45.7368
245104_at	AT2G41600	445.24	426.498	493.77	425.707	345.342	370.469
245105_at	AT2G41610	80.8682	65.4917	62.1298	69.0265	77.9428	70.8848
245106_at	AT2G41650	646.915	485.006	670.952	655.305	541.922	777.713
245107_at	HSFB3	55.0755	83.2495	61.8282	43.3722	49.0579	41.2869
245108_at	CKX1	57.9484	54.1165	45.2248	38.9952	54.8899	53.1377
245109_at	AT2G41520	120.074	108.664	115.527	116.155	122.285	132.968
245110_at	AT2G41550	79.18	63.8247	98.6057	79.0062	57.1936	88.711
245111_at	AT2G41570	11.9784	20.0314	14.9912	16.6981	6.82046	9.26197
245112_at	GPDHC1	369.067	244.639	402.579	347.013	307.709	362.824
245113_at	MIZ1	188.086	197.593	186.961	174.454	123.758	186.562
245114_at	TFIIB	908.808	838.444	863.093	1102.85	938.375	1112.17
245115_at	SFGH	2112.51	1914.67	1923.22	2074.07	1875.88	2020
245116_at	AT2G41620	412.501	397.606	413.859	405.319	375.549	389.31
245117_at	ACA4	1725.53	1589.82	1836.78	1623.76	1874.95	1747.74
245118_at	NTRC	1767.37	1853.15	1971.07	1791.35	1709.65	2017.01
245119_at	AT2G41640	113.491	116.943	103.998	844.137	802.754	825.831
245120_at	HOS1	280.571	254.373	306.791	247.419	241.902	291.162
245121_at	AT2G47610	5963.67	5587.48	5693.92	5940.71	5477.85	5757.85
245122_at	AT2G47420	832.776	839.049	703.455	791.034	752.717	672.758
245123_at	CAO	3141.56	2566.88	3827.9	2910.68	3173.39	3179.16
245124_at	U1A	757.87	714.597	713.43	687.472	596.996	728.663
245125_at	CKI1	70.1245	72.7578	60.6552	56.4075	24.5778	58.7288
245126_at	MYB12	69.1309	49.2232	70.0895	45.0943	57.3504	51.4099
245127_at	MHX	700.168	753.354	714.579	687.62	648.529	694.959
245128_at	AT2G45380	31.5447	42.5068	23.6853	32.0088	30.408	32.744
245129_at	CRR4	37.8145	10.346	39.4113	31.3353	13.2488	3.70064
245130_at	AT2G45340	235.26	219.761	190.143	204.826	173.302	179.765
245131_s_at	AT5G23600	382.02	398.607	383.437	395.844	314.36	380.161
245132_at	AT2G45320	105.858	152.515	131.397	101.757	99.1524	94.4505
245133_at	GAE4	175.629	153.29	135.633	176.551	136.722	167.167
245134_s_at	AT4G38280	612.766	497.338	549.195	556.776	364.382	421.601
245135_at	AT2G45230	null	null	9.96721	null	null	null
245136_at	AT2G45210	165.568	142.591	186.334	115.37	91.7354	90.1
245137_at	AT2G45460	98.889	60.8932	83.7178	77.3198	71.0807	66.7296
245138_at	AFO	449.332	378.458	394.522	440.79	397.423	417.38
245139_at	AHL22	225.486	215.82	237.376	200.333	139.486	166.895
245140_at	LBD18	3.52061	19.5452	14.5966	5.26459	22.1364	23.1274
245141_at	BEN1	278.322	216.635	305.235	261.153	218.988	202.726
245142_at	GCP1	383.94	317.754	359.515	353.215	368.527	366.883
245143_at	ZPR1	109.402	91.6698	121.604	102.056	103.992	85.126
245144_at	MAP1A	701.684	683.381	709.002	693.158	635.39	649.716
245145_at	DHDPS2	1177.85	1060.09	1099.94	1226.19	1071.89	1191.69
245146_at	GOS12	569.265	560.641	587.851	618.373	576.94	587.463
245147_at	RAD51C	168.485	187.684	180.393	157.375	164.013	160.797
245148_at	AT2G45220	151.049	122.613	143.387	124.335	128.026	122.783
245149_at	SWI3A	122.9	135.055	160.498	119.746	126.117	131.085
245150_at	PHR2	1004.77	1037.25	1049.71	1045.99	936.224	1035.46
245151_at	AT2G47550	224.769	257.541	210.451	437.953	371.174	436.931
245152_at	NDT1	570.883	662.724	483.142	602.04	622.708	625.156
245153_at	AT5G12450	50.5704	37.8219	22.1629	31.8698	48.9414	33.0274
245154_at	AT5G12460	38.6551	27.5408	27.5333	30.528	17.9845	33.6679
245155_at	AT5G12470	1985.07	1821.34	1914.78	1950.18	2002.42	1888.24
245156_at	CPK7	151.823	111.529	146.461	134.922	104.241	223.665
245157_at	AT2G33160	47.987	45.0964	21.67	3.38446	4.22911	14.2396
245158_at	RALFL18	39.4899	77.775	43.9724	49.1168	44.5325	34.7301
245159_at	CSLD1	28.2068	29.6144	34.1515	53.8413	42.3834	47.0065
245160_at	RLP28	38.7335	44.1672	42.7821	41.3246	44.313	36.2595
245161_at	NSP2	163.48	151.358	204.073	195.399	183.514	232.431
245162_at	XID	52.1166	57.2475	53.3404	64.01	56.7767	55.0603
245163_at	YUC7	77.2429	128.574	76.4117	97.9665	34.7878	113.748
245164_at	HSP60-2	1299.93	1200.35	1430.44	1339.25	1159.85	1426.9
245165_at	AT2G33180	1392.54	1363.9	1481.97	1431.16	1261.91	1484.71
245166_at	AT2G33170	187.685	162.621	187.94	216.577	201.663	215.812
245167_s_at	SAR1	1088.91	788.993	1192.44	1411.47	1495.77	1293.27
245168_at	PKT3	3917.75	3804.83	4000.39	4192.34	4381.57	3309.64
245169_at	AT2G33220	1860.34	1588.87	1980.96	1939.91	1915.67	1863.46
245170_at	AT2G47570	165.843	108.89	106.664	100.381	85.2058	131.241
245171_at	AT2G47560	91.6643	61.272	115.571	132.127	130.895	102.357
245172_at	AT2G47540	193.609	214.454	187.571	207.71	198.253	168.369
245173_at	HRE2	44.6425	35.9501	32.5205	52.9849	36.5865	27.0405
245174_at	AT2G47500	96.824	64.9292	20.9484	107.122	117.247	110.379
245175_at	UNE5	2597.87	2358.7	2868.33	2891.04	2701.33	2582.92
245176_at	AT2G47440	809.866	895.845	830.604	544.519	535.472	663.102
245177_at	ANNAT8	24.6534	37.0123	59.4333	53.3574	35.3563	31.0974
245178_at	FIS1B	395.53	342.324	416.084	400.374	389.908	379.392
245179_at	AT5G12400	207.377	148.027	206.609	174.799	169.468	205.311
245180_at	AT5G12410	532.259	437.059	514.065	484.333	445.696	440.312
245181_at	AT5G12420	113.529	110.087	178.981	176.013	139.176	143.075
245182_at	AT5G12430	207.471	228.963	233.479	182.543	206.834	220.795
245183_at	AT5G12440	155.895	160.554	140.395	142.835	141.379	135.374
245184_at	AT1G67790	null	null	null	null	null	null
245185_at	AT1G67760	164.31	135.371	175.193	144.243	162.162	180.995
245186_at	ARR11	22.6772	19.7401	17.257	24.0801	11.803	16.5597
245187_s_at	AT1G67680	733.023	698.048	716.731	674.174	636.232	689.026
245188_at	AT1G67660	505.414	322.368	517.97	475.114	424.368	502.337
245189_at	AT1G67670	3.29313	16.841	3.21248	6.07434	14.4896	14.7013
245190_at	AT1G67690	162.9	165.366	163.305	157.334	175.606	146.304
245191_at	TEL2	40.7727	27.9837	28.6176	32.7568	12.9112	34.4474
245192_at	AT1G67780	49.0847	18.5528	23.1287	13.6316	8.94635	26.8839
245193_at	SUFE2	174.589	151.622	190.495	734.795	765.743	673.097
245194_at	AT1G67820	82.3285	92.3039	99.1255	97.6571	102.592	83.4066
245195_at	PSBY	5987.13	6200.32	6373.88	6005.37	6080.77	6691.42
245196_at	AT1G67750	363.552	388.842	332.458	340.732	182.897	318.357
245197_at	AT1G67800	142.475	107.054	137.906	195.739	194.585	201.147
245198_at	AT1G67700	3062.61	2675.61	3287.17	2843.42	2982.15	3349.36
245199_at	KCR1	2390.35	2536.79	2688.61	2544.42	2430.52	2356.96
245200_at	AT1G67850	126.256	128.61	116.228	123.873	154.714	163.396
245201_at	CSK	386.53	424.131	370.589	347.03	405.773	388.422
245202_at	AT1G67720	176.475	138.249	168.356	161.579	192.348	196.537
245203_at	AT3G33080	33.5456	46.5133	105.648	41.6072	12.7845	52.5971
245204_at	AT5G12270	23.7117	31.9379	36.77	25.8644	21.2105	30.2837
245205_at	AT5G12280	54.6189	64.3424	83.9283	55.5489	86.9041	62.1674
245206_at	DGS1	327.084	309.154	283.119	283.243	267.314	265.344
245207_at	AT5G12310	463.585	548.596	426.593	402.626	443.016	446.377
